xmin,ymin,xmax,ymax,id
76.846585,28.862155,76.85168760779,28.866605,1
76.85168760779,28.862155,76.85679021558,28.866605,2
76.85679021558,28.862155,76.86189282337,28.866605,3
76.86189282337,28.862155,76.86699543116,28.866605,4
76.86699543116,28.862155,76.87209803895,28.866605,5
76.87209803895,28.862155,76.87720064674001,28.866605,6
76.87720064674001,28.862155,76.88230325453,28.866605,7
76.88230325453,28.862155,76.88740586232001,28.866605,8
76.88740586232001,28.862155,76.89250847011,28.866605,9
76.89250847011,28.862155,76.89761107790001,28.866605,10
76.89761107790001,28.862155,76.90271368569,28.866605,11
76.90271368569,28.862155,76.90781629348001,28.866605,12
76.90781629348001,28.862155,76.91291890127,28.866605,13
76.91291890127,28.862155,76.91802150906001,28.866605,14
76.91802150906001,28.862155,76.92312411685,28.866605,15
76.92312411685,28.862155,76.92822672464,28.866605,16
76.92822672464,28.862155,76.93332933243,28.866605,17
76.93332933243,28.862155,76.93843194022,28.866605,18
76.93843194022,28.862155,76.94353454801,28.866605,19
76.94353454801,28.862155,76.9486371558,28.866605,20
76.9486371558,28.862155,76.95373976359001,28.866605,21
76.95373976359001,28.862155,76.95884237138,28.866605,22
76.95884237138,28.862155,76.96394497917001,28.866605,23
76.96394497917001,28.862155,76.96904758696,28.866605,24
76.96904758696,28.862155,76.97415019475001,28.866605,25
76.97415019475001,28.862155,76.97925280254,28.866605,26
76.97925280254,28.862155,76.98435541033001,28.866605,27
76.98435541033001,28.862155,76.98945801812,28.866605,28
76.98945801812,28.862155,76.99456062591,28.866605,29
76.99456062591,28.862155,76.9996632337,28.866605,30
76.9996632337,28.862155,77.00476584149,28.866605,31
77.00476584149,28.862155,77.00986844928,28.866605,32
77.00986844928,28.862155,77.01497105707,28.866605,33
77.01497105707,28.862155,77.02007366486,28.866605,34
77.02007366486,28.862155,77.02517627265,28.866605,35
77.02517627265,28.862155,77.03027888044001,28.866605,36
77.03027888044001,28.862155,77.03538148823,28.866605,37
77.03538148823,28.862155,77.04048409602001,28.866605,38
77.04048409602001,28.862155,77.04558670381,28.866605,39
77.04558670381,28.862155,77.05068931160001,28.866605,40
77.05068931160001,28.862155,77.05579191939,28.866605,41
