xmin,ymin,xmax,ymax,%water,%builtup,%greencover,%others
76.88740586,28.559555,76.89250847,28.564005,0,0,0,1
76.89250847,28.559555,76.89761108,28.564005,0,0,0,1
76.89761108,28.559555,76.90271369,28.564005,0,0.650449383,0,0.349550617
76.90271369,28.559555,76.90781629,28.564005,0,0,0,1
76.90781629,28.559555,76.9129189,28.564005,0,0.610518519,0,0.389481481
76.9129189,28.559555,76.91802151,28.564005,0,0.644296296,0,0.355703704
76.91802151,28.559555,76.92312412,28.564005,0,0.565565432,0,0.434434568
76.92822672,28.559555,76.93332933,28.564005,0,0.633955556,0,0.366044444
76.92312412,28.559555,76.92822672,28.564005,0,0,0.169654321,0.830345679
76.93332933,28.559555,76.93843194,28.564005,0,0,0,1
76.93843194,28.559555,76.94353455,28.564005,0,0.151274074,0.119876543,0.728849383
76.94353455,28.559555,76.94863716,28.564005,0,0,0,1
76.94863716,28.559555,76.95373976,28.564005,0,0,0,1
76.95373976,28.559555,76.95884237,28.564005,0,0,0,1
76.95884237,28.559555,76.96394498,28.564005,0,0,0,1
76.96394498,28.559555,76.96904759,28.564005,0,0.009584,0.068612,0.921804
76.96904759,28.559555,76.97415019,28.564005,0,0,0.170932,0.829068
76.97415019,28.559555,76.9792528,28.564005,0,0,0.271272,0.728728
76.9792528,28.559555,76.98435541,28.564005,0,0,0.082096,0.917904
76.98435541,28.559555,76.98945802,28.564005,0,0,0.049248,0.950752
76.98945802,28.559555,76.99456063,28.564005,0,0,0.043688,0.956312
76.99456063,28.559555,76.99966323,28.564005,0,0.223316,0.126136,0.650548
76.99966323,28.559555,77.00476584,28.564005,0,0.743588,0.032688,0.223724
77.00476584,28.559555,77.00986845,28.564005,0,0,0.117088,0.882912
77.00986845,28.559555,77.01497106,28.564005,0,0,0.046348,0.953652
77.01497106,28.559555,77.02007366,28.564005,0,0,0.152012,0.847988
77.02007366,28.559555,77.02517627,28.564005,0,0,0.197312,0.802688
77.02517627,28.559555,77.03027888,28.564005,0.041936,0,0.30082,0.657244
77.03027888,28.559555,77.03538149,28.564005,0,0,0.69666,0.30334
77.03538149,28.559555,77.0404841,28.564005,0,0,0.551644,0.448356
77.0404841,28.559555,77.0455867,28.564005,0,0,0,1
77.0455867,28.559555,77.05068931,28.564005,0,0.669848,0,0.330152
77.05068931,28.559555,77.05579192,28.564005,0,0.119544,0,0.880456
77.05579192,28.559555,77.06089453,28.564005,0,0.037832,0.113504,0.848664
