xmin,ymin,xmax,ymax,olx_houses,olx_offices,gp_groceries,gp_shops_restaurants,gp_tansport
76.88740586,28.559555,76.89250847,28.564004999999998,0,0,0,0,0
76.89250847,28.559555,76.89761108,28.564004999999998,0,0,0,0,0
76.89761108,28.559555,76.90271369,28.564004999999998,0,0,0,0,0
76.90271369,28.559555,76.90781629,28.564004999999998,0,0,0,0,0
76.90781629,28.559555,76.91291890000001,28.564004999999998,0,0,0,0,0
76.91291890000001,28.559555,76.91802151,28.564004999999998,0,0,0,0,0
76.91802151,28.559555,76.92312412,28.564004999999998,0,0,0,0,0
76.92822672,28.559555,76.93332933,28.564004999999998,0,0,0,0,0
76.92312412,28.559555,76.92822672,28.564004999999998,0,0,0,0,0
76.93332933,28.559555,76.93843194,28.564004999999998,0,0,0,0,0
76.93843194,28.559555,76.94353455,28.564004999999998,0,0,0,0,0
76.94353455,28.559555,76.94863716,28.564004999999998,0,0,0,0,0
76.94863716,28.559555,76.95373976,28.564004999999998,0,0,0,0,0
76.95373976,28.559555,76.95884237,28.564004999999998,0,0,0,0,0
76.95884237,28.559555,76.96394498,28.564004999999998,0,0,0,0,0
76.96394498,28.559555,76.96904759,28.564004999999998,0,0,0,0,0
76.96904759,28.559555,76.97415019,28.564004999999998,0,0,0,0,0
76.97415019,28.559555,76.9792528,28.564004999999998,0,0,0,0,0
76.9792528,28.559555,76.98435541,28.564004999999998,0,0,0,0,0
76.98435541,28.559555,76.98945802,28.564004999999998,0,0,0,0,0
76.98945802,28.559555,76.99456063,28.564004999999998,0,0,0,0,0
76.99456063,28.559555,76.99966323,28.564004999999998,0,0,0,0,0
76.99966323,28.559555,77.00476584,28.564004999999998,3,0,0,0,2
77.00476584,28.559555,77.00986845,28.564004999999998,0,0,0,0,1
77.00986845,28.559555,77.01497106,28.564004999999998,0,0,0,0,0
77.01497106,28.559555,77.02007366,28.564004999999998,0,0,0,0,0
77.02007366,28.559555,77.02517627,28.564004999999998,0,0,0,0,0
77.02517627,28.559555,77.03027888,28.564004999999998,0,0,0,0,0
77.03027888,28.559555,77.03538149,28.564004999999998,0,0,0,0,0
77.03538149,28.559555,77.04048409999999,28.564004999999998,0,0,0,0,0
77.04048409999999,28.559555,77.04558670000002,28.564004999999998,1,0,0,0,0
77.04558670000002,28.559555,77.05068931,28.564004999999998,0,0,1,0,0
77.05068931,28.559555,77.05579192,28.564004999999998,13,0,4,5,0
77.05579192,28.559555,77.06089453,28.564004999999998,0,0,2,8,1
77.06089453,28.559555,77.06599713,28.564004999999998,0,0,0,0,0
77.07109974,28.559555,77.07620235,28.564004999999998,0,0,0,0,4
77.06599713,28.559555,77.07109974,28.564004999999998,0,0,0,0,2
77.07620235,28.559555,77.08130496,28.564004999999998,0,0,0,0,0
77.08130496,28.559555,77.08640757,28.564004999999998,0,0,0,0,0
77.08640757,28.559555,77.09151017,28.564004999999998,0,0,0,0,0
77.09151017,28.559555,77.09661278,28.564004999999998,0,0,0,0,0
77.09661278,28.559555,77.10171539,28.564004999999998,0,0,0,0,0
77.10171539,28.559555,77.106818,28.564004999999998,0,0,0,0,0
77.106818,28.559555,77.11192061,28.564004999999998,0,0,0,0,0
77.11192061,28.559555,77.11702321,28.564004999999998,0,0,0,0,0
77.11702321,28.559555,77.12212582,28.564004999999998,0,0,6,5,2
77.12212582,28.559555,77.12722843,28.564004999999998,0,0,0,0,1
77.12722843,28.559555,77.13233104,28.564004999999998,0,0,0,0,0
77.13233104,28.559555,77.13743364,28.564004999999998,0,0,0,0,0
77.13743364,28.559555,77.14253625,28.564004999999998,0,0,0,0,0
77.14253625,28.559555,77.14763886,28.564004999999998,0,0,0,0,0
77.14763886,28.559555,77.15274147,28.564004999999998,1,0,0,0,0
77.15274147,28.559555,77.15784408,28.564004999999998,0,0,4,1,2
77.15784408,28.559555,77.16294668,28.564004999999998,0,0,8,4,2
77.16294668,28.559555,77.16804929,28.564004999999998,1,0,0,2,6
77.16804929,28.559555,77.17315190000001,28.564004999999998,0,0,0,0,7
77.17315190000001,28.559555,77.17825451,28.564004999999998,0,0,1,7,2
77.17825451,28.559555,77.18335711,28.564004999999998,0,0,0,1,9
77.18335711,28.559555,77.18845972,28.564004999999998,0,0,0,0,1
77.18845972,28.559555,77.19356233,28.564004999999998,21,0,11,6,1
77.19356233,28.559555,77.19866494,28.564004999999998,3,0,16,46,0
77.19866494,28.559555,77.20376755,28.564004999999998,0,0,13,11,2
77.20376755,28.559555,77.20887015,28.564004999999998,1,0,25,54,5
77.20887015,28.559555,77.21397276,28.564004999999998,9,0,23,16,2
77.21397276,28.559555,77.21907537,28.564004999999998,1,0,6,2,0
77.21907537,28.559555,77.22417798,28.564004999999998,0,0,9,13,5
77.22417798,28.559555,77.22928058,28.564004999999998,0,0,10,36,0
77.22928058,28.559555,77.23438319,28.564004999999998,0,0,1,5,9
77.23438319,28.559555,77.2394858,28.564004999999998,0,0,11,7,0
77.2394858,28.559555,77.24458841,28.564004999999998,3,0,28,70,0
77.24458841,28.559555,77.24969102,28.564004999999998,44,0,35,75,0
77.24969102,28.559555,77.25479362,28.564004999999998,27,0,0,19,2
77.25479362,28.559555,77.25989623,28.564004999999998,0,0,0,1,4
77.25989623,28.559555,77.26499884,28.564004999999998,0,0,0,0,3
77.26499884,28.559555,77.27010145,28.564004999999998,0,0,49,29,8
77.27010145,28.559555,77.27520405,28.564004999999998,0,0,10,14,4
77.27520405,28.559555,77.28030666,28.564004999999998,0,0,1,1,4
77.28030666,28.559555,77.28540927,28.564004999999998,1,0,2,0,2
